target,night,weather,sky_median,stars_found
WASP-2,2026-08-11,17,1512.0,0
CoRoT-2,2026-08-23,16,515.0,1
Qatar-1,2026-08-28,45,2444.0,1
TRES-1,2026-08-06,0,481.0,1
WASP-10,2026-08-08,4,415.0,2
CoRoT-2,2026-08-30,2,1228.0,4
WASP-2,2026-08-24,41,1009.0,12
TRES-3,2026-08-31,33,719.0,27
TRES-5,2026-08-20,22,440.0,35
TRES-3,2026-08-27,100,681.0,111
TRES-3,2026-08-14,45,407.0,137
TRES-3,2026-08-10,65,399.0,180
HATP-10,2026-09-05,100,422.0,216
Qatar-1,2026-08-21,100,412.0,264
Qatar-1,2026-08-18,100,405.0,282
TRES-5,2026-08-29,100,633.0,290
TRES-5,2026-08-17,100,407.0,299
CoRoT-2,2026-08-16,94,411.0,303
TRES-5,2026-08-26,100,534.0,307
TRES-5,2026-09-04,100,403.0,340
CoRoT-2,2026-08-09,100,406.0,367
TRES-5,2026-09-01,100,462.0,603
