target,night,n_images,start_ut,hours,cadence_min,biggest_gap_min,altitude_start,altitude_end,weather_mean,frames_with_saturation
CoRoT-2,2026-08-09,87,2026-08-09T05:18:53.898,4.29,2.99,4.05,59.31,26.86,100.0,64
CoRoT-2,2026-08-16,86,2026-08-16T04:40:02.011,4.29,3.01,6.0,58.74,29.19,97.0,60
CoRoT-2,2026-08-23,86,2026-08-23T03:57:58.009,4.29,3.01,6.01,57.69,32.11,31.91,16
CoRoT-2,2026-08-30,87,2026-08-30T03:18:36.985,4.49,3.0,6.57,56.6,32.01,21.28,8
HATP-10,2026-09-05,93,2026-09-05T07:42:24.011,4.65,2.4,7.97,40.5,80.29,99.89,93
Qatar-1,2026-08-18,75,2026-08-18T08:24:49.906,4.02,3.01,7.92,49.07,24.91,100.0,75
Qatar-1,2026-08-21,74,2026-08-21T04:37:41.530,3.63,3.0,3.02,55.14,48.88,100.0,73
Qatar-1,2026-08-28,73,2026-08-28T07:00:36.825,3.64,3.01,6.0,52.52,31.71,49.1,68
TRES-1,2026-08-06,91,2026-08-06T07:34:22.622,5.06,3.01,7.62,63.75,6.24,0.0,4
TRES-3,2026-08-10,70,2026-08-10T06:06:40.229,3.82,3.01,7.46,63.74,19.63,57.71,20
TRES-3,2026-08-14,51,2026-08-14T04:09:28.759,2.5,3.0,3.88,82.43,54.14,48.45,33
TRES-3,2026-08-27,70,2026-08-27T05:39:37.519,3.44,2.99,3.03,55.84,16.51,100.0,70
TRES-3,2026-08-31,70,2026-08-31T03:47:10.252,3.37,3.01,3.03,74.87,35.21,52.29,39
TRES-5,2026-08-17,74,2026-08-17T09:17:50.399,5.17,3.01,8.27,47.38,11.21,100.0,74
TRES-5,2026-08-20,74,2026-08-20T08:24:56.775,3.93,3.01,7.95,52.14,23.18,36.57,21
TRES-5,2026-08-26,74,2026-08-26T06:44:46.938,3.61,3.01,3.03,59.25,34.98,100.0,74
TRES-5,2026-08-29,74,2026-08-29T05:52:50.942,3.62,3.01,4.97,61.44,39.96,99.68,74
TRES-5,2026-09-01,74,2026-09-01T05:00:38.463,3.64,3.01,3.03,62.14,44.88,89.49,74
TRES-5,2026-09-04,57,2026-09-04T04:10:43.762,2.78,3.01,3.02,61.31,55.15,99.16,57
WASP-10,2026-08-08,86,2026-08-08T05:40:17.063,4.23,3.01,3.03,40.94,85.49,20.02,26
WASP-2,2026-08-11,78,2026-08-11T06:54:33.864,3.85,3.0,4.02,64.49,26.91,34.96,34
WASP-2,2026-08-24,77,2026-08-24T04:52:31.321,3.78,3.01,3.02,61.93,42.27,39.92,39
