target,night,stars,frames_kept,median_scatter_%
CoRoT-2,2026-08-09,40,87,1.6825226481548645
CoRoT-2,2026-08-16,40,86,1.3262189311263235
CoRoT-2,2026-08-23,40,28,16.029185900785315
CoRoT-2,2026-08-30,0,0,
HATP-10,2026-09-05,40,84,1.7102332934077726
Qatar-1,2026-08-18,40,71,1.473338902086444
Qatar-1,2026-08-21,40,74,1.4167249886570246
Qatar-1,2026-08-28,0,0,
TRES-1,2026-08-06,0,0,
TRES-3,2026-08-10,40,51,7.547318963169602
TRES-3,2026-08-14,40,49,16.761212919558627
TRES-3,2026-08-27,40,70,2.309585627884521
TRES-3,2026-08-31,40,65,7.3270026121299185
TRES-5,2026-08-17,40,56,2.7014097701687065
TRES-5,2026-08-20,40,66,15.121516968822299
TRES-5,2026-08-26,40,74,1.3123226015982246
TRES-5,2026-08-29,40,74,1.1297359340052382
TRES-5,2026-09-01,40,74,2.462728262294556
TRES-5,2026-09-04,40,57,2.0646963149765334
WASP-10,2026-08-08,29,29,6.334707729834439
WASP-2,2026-08-11,40,25,4.3298747797818695
WASP-2,2026-08-24,40,44,9.99608801285755
